,tweet_id,timestamp,rating_numerator,rating_denominator,name,favorite_count,retweet_count,stage
0,892420643555336193,2017-08-01 16:23:56+00:00,13,10,Phineas,33776,6991,
1,892177421306343426,2017-08-01 00:17:27+00:00,13,10,Tilly,29294,5293,
2,891815181378084864,2017-07-31 00:18:03+00:00,12,10,Archie,22030,3471,
3,891689557279858688,2017-07-30 15:58:51+00:00,13,10,Darla,36856,7208,
4,891327558926688256,2017-07-29 16:00:24+00:00,12,10,Franklin,35235,7743,
5,891087950875897856,2017-07-29 00:08:17+00:00,13,10,None,17768,2592,
6,890971913173991426,2017-07-28 16:27:12+00:00,13,10,Jax,10349,1656,
7,890729181411237888,2017-07-28 00:22:40+00:00,13,10,None,56737,15729,
8,890609185150312448,2017-07-27 16:25:51+00:00,13,10,Zoey,24493,3613,
9,890240255349198849,2017-07-26 15:59:51+00:00,14,10,Cassie,27899,6086,doggo
10,890006608113172480,2017-07-26 00:31:25+00:00,13,10,Koda,26991,6139,
11,889880896479866881,2017-07-25 16:11:53+00:00,13,10,Bruno,24532,4157,
12,889665388333682689,2017-07-25 01:55:32+00:00,13,10,None,41995,8334,puppo
13,889638837579907072,2017-07-25 00:10:02+00:00,12,10,Ted,23638,3708,
14,889531135344209921,2017-07-24 17:02:04+00:00,13,10,Stuart,13333,1877,puppo
15,889278841981685760,2017-07-24 00:19:32+00:00,13,10,Oliver,22058,4436,
16,888917238123831296,2017-07-23 00:22:39+00:00,12,10,Jim,25583,3756,
17,888804989199671297,2017-07-22 16:56:37+00:00,13,10,Zeke,22425,3527,
18,888554962724278272,2017-07-22 00:23:06+00:00,13,10,Ralphus,17291,2873,
20,888078434458587136,2017-07-20 16:49:33+00:00,12,10,Gerald,19121,2892,
21,887705289381826560,2017-07-19 16:06:48+00:00,13,10,Jeffrey,26584,4531,
22,887517139158093824,2017-07-19 03:39:09+00:00,14,10,such,40672,9837,
23,887473957103951883,2017-07-19 00:47:34+00:00,13,10,Canela,60124,14997,
24,887343217045368832,2017-07-18 16:08:03+00:00,13,10,None,29562,8802,
25,887101392804085760,2017-07-18 00:07:08+00:00,12,10,None,26947,4977,
26,886983233522544640,2017-07-17 16:17:36+00:00,13,10,Maya,30325,6303,
27,886736880519319552,2017-07-16 23:58:41+00:00,13,10,Mingus,10488,2624,
28,886680336477933568,2017-07-16 20:14:00+00:00,13,10,Derek,19700,3729,
29,886366144734445568,2017-07-15 23:25:31+00:00,12,10,Roscoe,18532,2627,pupper
30,886267009285017600,2017-07-15 16:51:35+00:00,12,10,None,105,4,
31,886258384151887873,2017-07-15 16:17:19+00:00,13,10,Waffles,24491,5277,
32,886054160059072513,2017-07-15 02:45:48+00:00,12,10,None,0,93,
33,885984800019947520,2017-07-14 22:10:11+00:00,12,10,Jimbo,28551,5602,
34,885528943205470208,2017-07-13 15:58:47+00:00,13,10,Maisey,31548,5321,
35,885518971528720385,2017-07-13 15:19:09+00:00,14,10,None,17975,3104,
36,885311592912609280,2017-07-13 01:35:06+00:00,13,10,Lilly,0,15409,
37,885167619883638784,2017-07-12 16:03:00+00:00,13,10,None,19225,3662,
38,884925521741709313,2017-07-12 00:01:00+00:00,12,10,Earl,67086,14997,
39,884876753390489601,2017-07-11 20:47:12+00:00,13,10,Lola,24356,4663,
40,884562892145688576,2017-07-11 00:00:02+00:00,13,10,Kevin,21293,3905,
41,884441805382717440,2017-07-10 15:58:53+00:00,14,10,None,23843,4785,
42,884247878851493888,2017-07-10 03:08:17+00:00,13,10,None,63155,16888,
43,884162670584377345,2017-07-09 21:29:42+00:00,12,10,Yogi,17911,2498,doggo
44,883838122936631299,2017-07-09 00:00:04+00:00,12,10,Noah,19129,2856,
45,883482846933004288,2017-07-08 00:28:19+00:00,5,10,Bella,40123,8251,
46,883360690899218434,2017-07-07 16:22:55+00:00,13,10,Grizzwald,19916,3071,floofer
47,883117836046086144,2017-07-07 00:17:54+00:00,13,10,None,32476,5524,
48,882992080364220416,2017-07-06 15:58:11+00:00,13,10,Rusty,20961,3239,
49,882762694511734784,2017-07-06 00:46:41+00:00,12,10,Gus,24760,4087,pupper
50,882627270321602560,2017-07-05 15:48:34+00:00,13,10,Stanley,24559,5054,
51,882268110199369728,2017-07-04 16:01:23+00:00,13,10,Alfy,39152,9612,
52,882045870035918850,2017-07-04 01:18:17+00:00,13,10,Koko,25677,4076,
53,881906580714921986,2017-07-03 16:04:48+00:00,12,10,Rey,21414,2851,
54,881666595344535552,2017-07-03 00:11:11+00:00,13,10,Gary,44479,8944,
55,881633300179243008,2017-07-02 21:58:53+00:00,17,10,None,113,8,
56,881536004380872706,2017-07-02 15:32:16+00:00,14,10,None,43371,13375,pupper
57,881268444196462592,2017-07-01 21:49:04+00:00,12,10,Elliot,20449,4486,
58,880935762899988482,2017-06-30 23:47:07+00:00,13,10,Louis,15025,2330,
59,880872448815771648,2017-06-30 19:35:32+00:00,12,10,None,18682,3199,
60,880465832366813184,2017-06-29 16:39:47+00:00,12,10,Bella,24999,5207,
61,880221127280381952,2017-06-29 00:27:25+00:00,12,10,Jesse,23621,3460,
62,880095782870896641,2017-06-28 16:09:20+00:00,11,10,None,24286,3647,
63,879862464715927552,2017-06-28 00:42:13+00:00,13,10,Romeo,19672,2923,
64,879674319642796034,2017-06-27 12:14:36+00:00,14,10,None,281,9,
65,879492040517615616,2017-06-27 00:10:17+00:00,12,10,Bailey,20673,2628,
